序号,年,月,日,新总面积,新住宅数,新住宅面积,旧总面积,旧住宅数,旧住宅面积,,,
259,2022,1,21,139358.51,847,112098.8,53259.04,492,46693.02,,,
260,2022,1,20,126262.77,620,80542.49,68508.91,566,52727.85,,,
261,2022,1,19,125947.95,758,91882.76,71330.2,599,56031.41,,,
262,2022,1,18,115226.81,651,79310.06,70487.8,558,51906.87,,,
263,2022,1,16,10889.67,17,1832.18,,,,,,
264,2022,1,15,17368.97,24,2481.79,9907.78,88,8726.6,,,
265,2022,1,14,161064.61,962,115532.06,68905.29,632,59243.45,,,
266,2022,1,13,148581.84,874,116590.49,81555.09,699,67066.32,,,
267,2022,1,12,108778.06,569,73003.56,77707.4,678,63270.25,,,
268,2022,1,11,159950.32,833,111859,90166.53,761,73344.41,,,
269,2022,1,10,26107.1,1681,237547.17,118640.5,1033,101395.4,,,
270,2022,1,9,13872.24,40,3646.88,,,,,,
271,2022,1,8,26107.1,62,6671.92,14378.24,139,12772.2,,,
272,2022,1,7,290384.85,1866,264398.67,20348.55,193,18018.59,,,
273,2022,1,6,108972.69,871,80691.74,6094.23,66,5564.26,,,
274,2022,1,5,93663.5,715,68758.24,4925.96,52,4444.53,,,
275,2022,1,4,45711.49,229,27845.15,9029.68,77,8106.53,,,
276,2022,1,3,3112.57,7,665.71,,,,,,
277,2022,1,2,23060.24,12,1262.91,,,,,,
278,2022,1,1,24802.48,4,398.39,,,,,,
279,2021,12,31,226892.45,896,108471.81,44434.14,408,38262.16,,,
280,2021,12,30,152226.15,825,99450.96,59866.58,575,52129.76,,,
281,2021,12,29,202290,1078,145574.21,61314.52,566,54383.92,,,
282,2021,12,28,172685.52,752,99219.49,64892.06,572,54519.95,,,
283,2021,12,27,185699.62,687,84380.53,71109.62,637,59341.47,,,
284,2021,12,26,24368.02,8,797.6,,,,,,
285,2021,12,25,19251.67,24,2331.74,8384.8,76,7415.49,,,
286,2021,12,24,153100.73,341,40830.39,56754.79,539,49969.46,,,
287,2021,12,23,103993.88,471,58721.5,52286.6,510,45955.45,,,
288,2021,12,22,129229.49,624,76005.96,58513.87,542,50404.04,,,
289,2021,12,21,109500.48,493,59751.26,51316.93,482,45701.8,,,
290,2021,12,20,112015.72,535,64365.49,68604.12,624,57219.02,,,
291,2021,12,19,47635.31,177,19248.7,,,,,,
292,2021,12,18,179198.77,74,7254.31,9670.61,86,8706.39,,,
293,2021,12,17,362621.21,941,120352.86,56565.33,489,46773.9,,,
294,2021,12,16,1207243.41,2919,341218.51,56414.7,514,47813.75,,,
295,2021,12,15,382355.01,647,78691.77,58871.99,525,49609.47,,,
296,2021,12,14,178039.7,379,45041.5,53351.86,490,44961.03,,,
297,2021,12,13,209855.64,552,70862.58,63264.47,586,55217.31,,,
298,2021,12,12,39355.99,27,2900.18,,,,,,
299,2021,12,11,35224.01,67,7049.93,9505.43,95,8644.55,,,
300,2021,12,9,145953.58,623,78187.19,50619.57,504,46615.36,,,
301,2021,12,9,109795.48,611,74975.02,56548.22,514,47752.22,,,
302,2021,12,8,128033.65,743,94258,56172.23,535,49693.56,,,
303,2021,12,7,131073.07,679,88732.28,56677.02,522,48759.4,,,
304,2021,12,6,168603.22,853,118363.77,63856.58,579,53429.18,,,
305,2021,12,5,12080.65,20,2355.5,,,,,,
306,2021,12,4,19580.62,23,2663.63,7268.59,68,6339,,,
307,2021,12,3,156767.84,651,84238.55,50714.58,461,43858.35,,,
308,2021,12,2,143476.47,796,112332.35,29163.77,262,26529.54,,,
309,2021,12,1,113496.2,604,73569.7,48641.51,454,43318.21,,,
310,2021,11,30,94172.2,397,48674.81,56968.25,532,48020.97,,,
311,2021,11,29,151418.41,770,104244.48,63923.12,539,50808.81,,,
312,2021,11,28,15397.45,25,2684.59,,,,,,
313,2021,11,27,29861.52,72,7727.44,11083.88,99,8990.06,,,
314,2021,11,26,195179.38,1066,154743.4,54457.93,455,42339.17,,,
315,2021,11,25,121891.68,566,68066.42,56144.84,531,49686.61,,,
316,2021,11,24,113687.25,480,58270.55,63903.98,537,49263.68,,,
317,2021,11,23,108490.73,546,64130.79,29754.25,266,26406.33,,,
318,2021,11,22,126565.12,620,76666.52,46717.52,463,42184.73,,,
319,2021,11,21,8956.2,1,111.54,,,,,,
320,2021,11,20,20276.01,23,2437.88,9127.06,81,7777.86,,,
321,2021,11,19,101581.42,413,48027.56,52242.53,465,45019.05,,,
322,2021,11,18,116025.77,610,68434.44,42983.42,412,37646.17,,,
323,2021,11,17,113859.11,665,76028.42,12534.86,105,10374.04,,,
324,2021,11,16,98058.97,576,65517.47,12723.3,103,9632.74,,,
325,2021,11,15,103472.75,648,76465.9,10925.86,91,8644.3,,,
326,2021,11,14,15384.47,38,4088.34,,,,,,
327,2021,11,13,16866.55,18,1945.1,825.81,6,651.66,,,
328,2021,11,12,98158.15,578,68751.77,10760.21,73,6953.55,,,
329,2021,11,11,108839.62,628,78234.84,13474.41,70,6727.89,,,
330,2021,11,10,78224.35,459,54944.41,7588.05,70,6829.94,,,
331,2021,11,9,105387.84,606,76559.07,9112.79,80,7722.82,,,
332,2021,11,8,119935.99,550,73992.52,12392.39,100,10225.77,,,
333,2021,11,7,10867.26,18,2022.48,,,,,,
334,2021,11,6,8068.45,24,2643.67,371.97,3,257.73,,,
335,2021,11,5,107262.7,595,75562.76,13182.16,97,2547.32,,,
336,2021,11,4,135099.84,632,77713.03,13312.69,106,10382.33,,,
337,2021,11,4,135099.84,632,77713.03,13312.69,106,10382.33,,,
338,2021,11,3,139951.99,747,99253.27,13474.59,114,10651.33,,,
339,2021,11,2,131688.99,687,90485.18,15076.73,132,12420.89,,,
340,2021,10,29,14917.18,19,1978.46,1714.08,16,1420.39,,,
341,2021,11,1,112443.05,487,61991.14,15167.55,125,11882.73,,,
342,2021,10,31,17385.98,23,2596.31,,,,,,
343,2021,10,29,80318.71,341,38021.71,10964.22,85,8477.31,,,
344,2021,10,28,108657.88,545,60854.29,16171.15,133,13028.22,,,
345,2021,10,28,109605.08,476,55480.27,13525.74,115,10773.39,,,
346,2021,10,26,96991.4,435,49604.6,15010.31,128,12017.8,,,
347,2021,10,25,116971.15,603,68127.93,14679.47,132,12071.57,,,
348,2021,10,24,13650.69,14,1821.83,,,,,,
349,2021,10,23,16751.53,31,2972.05,733.15,7,679.87,,,
350,2021,10,22,79934.11,326,36686.38,15242.82,126,12565.03,,,
351,2021,10,21,111929.09,460,53057.01,13908.74,128,11681.52,,,
352,2021,10,20,138463.83,549,63674.32,11714.28,97,8922.75,,,
353,2021,10,19,96503.75,514,61342.68,17303.56,147,13815.16,,,
354,2021,10,18,123214.44,667,83222.62,17085.12,143,13287.67,,,
355,2021,10,11,150705.49,732,93659.74,18980.4,168,15545.93,,,
356,2021,10,7,13989.03,12,1083.17,0,0,0,,,
357,2021,10,6,11595.01,10,946.5,0,0,0,,,
358,2021,10,5,10988.31,3,333.94,0,0,0,,,
359,2021,10,4,64231.2,27,2720.35,0,0,0,,,
360,2021,10,3,5004.64,7,703.31,0,0,0,,,
361,2021,10,2,16604.06,2,192.5,0,0,0,,,
362,2021,10,1,31748.42,14,31748.42,0,0,0,,,
363,2021,9,30,91278.16,450,49286.13,13177.66,110,11463.94,,,
364,2021,9,29,108080,510,65932.93,13487.13,109,10972.21,,,
365,2021,9,28,139142.37,603,73390.08,17579.59,138,15375.98,,,
366,2021,9,27,120740.35,545,67312.05,16440.61,128,11763.82,,,
367,2021,9,26,132313.34,664,84042.66,15460.86,124,11427.9,,,
368,2021,9,25,33469.66,51,5075.94,,,,,,
369,2021,9,24,222506.14,549,65183.87,16737.64,119,12091.14,,,
370,2021,9,23,118018.6,665,81694.46,16380.67,128,11601.2,,,
371,2021,9,22,156950.08,867,111755.98,17454.66,158,14777.87,,,
372,2021,9,21,7486.34,3,308.26,0,9,21,,,
373,2021,9,18,158446.59,838,109917.84,9465.06,86,7694.61,,,
374,2021,9,17,360703.11,3766,328645.54,13816.82,112,11047.27,,,
375,2021,9,16,212397.12,1439,167912.14,16066.41,138,12872.18,,,
376,2021,9,15,171268.64,1151,133426.09,14793.63,110,11074.64,,,
377,2021,9,14,161608.28,987,121195.64,14565.13,113,11473.6,,,
378,2021,9,13,180838.22,1113,144436.56,15329.04,134,12835.01,,,
379,2021,9,10,214508.39,1143,153640.35,17750.54,108,11084.48,,,
380,2021,9,9,130297.35,767,96523.03,12418.02,111,10524.15,,,
381,2021,9,8,122240.99,676,79695.06,16407.33,127,12498.21,,,
382,2021,9,7,131873.4,704,86282.63,17904.69,122,11584.13,,,
383,2021,9,6,155883.61,966,118841.47,13939.3,118,11660.29,,,
384,2021,9,5,17376.09,11,1419.18,,,,,,
385,2021,9,3,160158.98,955,126420.83,11186.27,106,9249.78,,,
386,2021,9,2,136047.43,892,101368.9,12286.3,110,9736.75,,,
387,2021,9,1,147918.91,364,43688.04,12329.7,112,9919.18,,,
388,2021,8,31,112688.66,611,74314.33,14819.59,111,10560.01,,,
389,2021,8,30,99377.05,524,58285.24,18943.03,163,16126.28,,,
390,2021,8,29,13289.3,21,2438.99,,,,,,
391,2021,8,28,24460.62,43,4185.34,1990.72,19,1914.96,,,
392,2021,8,27,117602.17,625,78066.69,14699.1,129,11981.35,,,
393,2021,8,26,134839.06,735,89959.03,16360.23,142,14565.22,,,
394,2021,8,25,123147.96,655,87001.67,20598.09,163,16209.2,,,
395,2021,8,24,137198.15,638,73528.15,17883.05,168,16140.73,,,
396,2021,8,23,117416.55,640,73817.07,19687.29,179,17208.65,,,
397,2021,8,22,21722.83,26,2704.28,,,,,,
398,2021,8,21,20565.89,15,1806.92,1558.41,13,1423.14,,,
399,2021,8,20,138839.06,812,94053.15,17831.08,160,14905.98,,,
400,2021,8,19,190063.33,1237,152420.27,14904.65,138,13405.6,,,
401,2021,8,18,129201.88,583,71713.15,16797.99,141,13671.57,,,
402,2021,8,17,121404.6,575,70238.29,18465.01,173,16272.56,,,
403,2021,8,16,133249.71,39,66803.57,20194.92,179,17155.4,,,
404,2021,8,15,14202.31,9,957.03,,,,,,
